Epoch,E2W_COR_FLUX
2019-02-05 23:17:00,1737.6685
2019-02-05 23:18:00,1699.4352
2019-02-05 23:19:00,1698.7781
2019-02-05 23:20:00,1738.2532
2019-02-05 23:21:00,1640.0259
2019-02-05 23:22:00,1763.8986
2019-02-05 23:23:00,1635.565
2019-02-05 23:24:00,1731.3307
2019-02-05 23:25:00,1719.4221
2019-02-05 23:26:00,1756.2799
2019-02-05 23:27:00,1702.5852
2019-02-05 23:28:00,1811.3427
2019-02-05 23:29:00,1742.6223
2019-02-05 23:30:00,1845.5298
2019-02-05 23:31:00,1789.1749
2019-02-05 23:32:00,1758.5929
2019-02-05 23:33:00,1727.6809
2019-02-05 23:34:00,1778.6547
2019-02-05 23:35:00,1738.8118
2019-02-05 23:36:00,1781.0533
2019-02-05 23:37:00,1741.3336
2019-02-05 23:38:00,1762.4017
2019-02-05 23:39:00,1778.9949
2019-02-05 23:40:00,1719.0817
2019-02-05 23:41:00,1764.6205
2019-02-05 23:42:00,1699.0503
2019-02-05 23:43:00,1705.1581
2019-02-05 23:44:00,1777.2585
2019-02-05 23:45:00,1783.7434
2019-02-05 23:46:00,1760.674
2019-02-05 23:47:00,1720.4429
2019-02-05 23:48:00,1698.1481
2019-02-05 23:49:00,1716.5199
2019-02-05 23:50:00,1695.7611
2019-02-05 23:51:00,1677.0471
2019-02-05 23:52:00,1763.4897
2019-02-05 23:53:00,1718.5167
2019-02-05 23:54:00,1673.8242
2019-02-05 23:55:00,1679.4026
2019-02-05 23:56:00,1757.5557
2019-02-05 23:57:00,1698.9536
2019-02-05 23:58:00,1696.2467
2019-02-05 23:59:00,1673.1239
2019-02-06 00:00:00,1638.472
2019-02-06 00:01:00,1669.294
2019-02-06 00:02:00,1638.5387
2019-02-06 00:03:00,1650.4131
2019-02-06 00:04:00,1628.068
2019-02-06 00:05:00,1607.2059
2019-02-06 00:06:00,1611.3242
2019-02-06 00:07:00,1604.3406
2019-02-06 00:08:00,1635.9481
2019-02-06 00:09:00,1652.0974
2019-02-06 00:10:00,1674.7054
2019-02-06 00:11:00,1613.6769
2019-02-06 00:12:00,1632.3105
2019-02-06 00:13:00,1650.2223
2019-02-06 00:14:00,1693.0879
2019-02-06 00:15:00,1612.236
2019-02-06 00:16:00,1564.1656
2019-02-06 00:17:00,1638.3087
2019-02-06 00:18:00,1566.8721
2019-02-06 00:19:00,1615.3445
2019-02-06 00:20:00,1667.1688
2019-02-06 00:21:00,1604.9994
2019-02-06 00:22:00,1582.8317
2019-02-06 00:23:00,1691.3342
2019-02-06 00:24:00,1592.8645
2019-02-06 00:25:00,1628.4658
2019-02-06 00:26:00,1608.5328
2019-02-06 00:27:00,1591.409
2019-02-06 00:28:00,1591.5715
2019-02-06 00:29:00,1639.8523
2019-02-06 00:30:00,1543.1631
2019-02-06 00:31:00,1607.4349
2019-02-06 00:32:00,1578.9528
2019-02-06 00:33:00,1527.8746
2019-02-06 00:34:00,1544.4838
2019-02-06 00:35:00,1579.9695
2019-02-06 00:36:00,1585.031
2019-02-06 00:37:00,1565.9298
2019-02-06 00:38:00,1552.5146
